pattern,replacement
ferro_mehlich_xxx,ferro_mehlich1_xxx
camada_numero,camada_id
densidade_solo_xxx,dsi_xxx
densidade_solo_anel,dsi_cilindro
carbono_sobre_nitrogenio,cn_solo_calc
hidrogenio_fornalha_xxx_xxx,hidrogenio_forno_xxx_xxx
nitrogenio_fornalha_xxx_xxx,nitrogenio_forno_xxx_xxx
carbono_fornalha_xxx_xxx,carbono_forno_xxx_xxx
carbono_walkleyblack,carbono_cromo_5min150_mohr
carbono_wb_,carbono_cromo_5min150_mohr
amostra_codigo,amostra_id
nitrogênio_xxx_xxx,nitrogenio_xxx_xxx
argila_h20,argila_h2o
argila_h20_esferas_pipeta,argila_h2o_esferas_pipeta
ctc_calc,ctc_soma_calc
argilatotal_naoh_xxx_pipeta,argila_naoh_xxx_pipeta
silte,silte_xxx_xxx_xxx
areiafina,areiafina_xxx_xxx_xxx
areiagrossa,areiagrossa_xxx_xxx_xxx
argila,argila_xxx_xxx_xxx
ctc,ctc_xxx_xxx
terrafina_estufa,terrafina_xxx
terrafina_ar,terrafina_xxx
cascalho,cascalho_xxx
calhaus,calhaus_xxx
areiagrossa_xxx_xxx_xxx_naoh_esferas_calc,areiagrossa_naoh_esferas_calc
areiagrossa_xxx_xxx_xxx_xxx_xxx_xxx,areiagrossa_xxx_xxx_xxx
areiafina_xxx_xxx_xxx_naoh_esferas_peneira,areiafina_naoh_esferas_peneira
areiafina_xxx_xxx_xxx_xxx_xxx_xxx,areiafina_xxx_xxx_xxx
silte_xxx_xxx_xxx_naoh_esferas_calc,silte_naoh_esferas_calc
silte_xxx_xxx_xxx_xxx_xxx_xxx,silte_xxx_xxx_xxx
ctc_xxx_xxx_soma_calc,ctc_soma_calc
cascalho_xxx_olho,cascalho_olho
argila_xxx_xxx_xxx_naoh_esferas_pipeta,argila_naoh_esferas_pipeta
argila_xxx_xxx_xxx_floculacao_calc,argila_floculacao_calc
argila_xxx_xxx_xxx_h2o_esferas_pipeta,argila_h2o_esferas_pipeta
argila_xxx_xxx_xxx_h2o,argila_h2o
argila_xxx_xxx_xxx_atividade_calc,argila_atividade_calc
argila_xxx_xxx_xxx_xxx_xxx_xxx,argila_xxx_xxx_xxx
argila_xxx_xxx_xxx_naoh_xxx_pipeta,argila_naoh_xxx_pipeta
silte_xxx_xxx_xxx_sobre_argila_xxx_xxx_xxx,silte_sobre_argila_xxx_xxx_xxx
silte_sobre_argila_xxx_xxx_xxx,silte_sobre_argila
ferro_sulfurico_edta,fe2o3_sulfurico_edta
areia,areia_xxx_xxx_xxx
cascalho_xxx_peneira,cascalho_peneira
calhaus_xxx_peneira,calhaus_peneira
cascalho_xxx_xxx,cascalho_xxx
calhaus_xxx_xxx,calhaus_xxx
ph_cacl2,ph_cacl2_xxx_xxx
ph_kcl,ph_kcl_xxx_xxx
ph_h2o,ph_h2o_xxx_xxx
ph_h2o_25,ph_h2o_25_xxx
sodio_trocavel_xxx,sodio_mehlich1_xxx
sulfato_soluvel_pastasat,sulfato_pastasat_baso4
sodio_soluvel_pastasat,sodio_pastasat_eeac
sodio_saturacao,sodio_saturacao_calc
potassio_soluvel_pastasat,potassio_pastasat_eeac
