"dataset_id";"evento_id_febr";"camada_id_febr";"argila_sodio";"silte_0002mm0050mm";"areia_0050mm2000mm";"psd_total"
"ctb0019";"F10";"3";640;270;100;1010
"ctb0019";"F10";"4";640;260;90;990
"ctb0019";"F6";"2";480;430;100;1010
"ctb0019";"F6";"5";550;250;210;1010
"ctb0019";"FP2";"6";700;260;50;1010
"ctb0019";"G1";"2";680;260;50;990
"ctb0019";"G2";"2";600;300;110;1010
"ctb0019";"G3";"3";630;280;80;990
"ctb0019";"GS1";"2";630;310;50;990
"ctb0019";"GS1";"3";630;300;80;1010
"ctb0019";"GS2";"2";650;320;20;990
"ctb0019";"GS2";"5";280;630;80;990
"ctb0019";"GS4";"6";600;290;120;1010
"ctb0019";"GS5";"2";580;320;90;990
"ctb0019";"GS5";"5";390;310;290;990
"ctb0019";"P1";"9";620;270;120;1010
"ctb0019";"P1";"13";550;250;210;1010
"ctb0019";"P2";"1";670;300;40;1010
"ctb0019";"PP1";"2";690;250;50;990
"ctb0019";"PP2";"2";600;390;20;1010
"ctb0019";"PP2";"5";600;310;100;1010
"ctb0019";"PP2";"6";610;300;80;990
"ctb0019";"PP2";"8";560;300;150;1010
"ctb0019";"PP2";"10";560;320;130;1010
"ctb0019";"S1";"2";710;230;70;1010
"ctb0019";"S1";"3";640;280;70;990
"ctb0019";"S1";"6";640;210;160;1010
"ctb0022";"L90";"2";800;110;100;1010
"ctb0038";"Ponto-02";"1";229;326;446;1001
"ctb0038";"Ponto-03";"2";243;378;380;1001
"ctb0038";"Ponto-05";"2";213;351;435;999
"ctb0038";"Ponto-17";"1";243;310;448;1001
"ctb0038";"Ponto-18";"2";244;290;467;1001
"ctb0038";"Ponto-21";"1";263;358;380;1001
"ctb0038";"Ponto-22";"1";196;293;510;999
"ctb0038";"Ponto-24";"1";227;355;417;999
"ctb0038";"Ponto-25";"2";249;313;439;1001
"ctb0038";"Ponto-26";"1";262;262;477;1001
"ctb0038";"Ponto-27";"1";264;328;409;1001
"ctb0038";"Ponto-27";"2";320;328;353;1001
"ctb0038";"Ponto-28";"1";261;341;397;999
"ctb0038";"Ponto-30";"1";260;239;500;999
"ctb0038";"Ponto-30";"2";285;270;444;999
"ctb0038";"Ponto-32";"1";232;281;486;999
"ctb0038";"Ponto-33";"2";268;241;492;1001
"ctb0038";"Ponto-34";"2";249;375;375;999
"ctb0038";"Ponto-36";"1";238;319;444;1001
"ctb0038";"Ponto-37";"2";233;294;474;1001
"ctb0038";"Ponto-39";"2";184;371;446;1001
"ctb0038";"Ponto-43";"2";201;343;457;1001
"ctb0038";"Ponto-44";"1";265;296;438;999
"ctb0038";"Ponto-46";"2";315;320;366;1001
"ctb0038";"Ponto-47";"2";286;349;364;999
"ctb0038";"Ponto-50";"1";248;348;403;999
"ctb0038";"Ponto-50";"2";282;350;369;1001
"ctb0038";"Ponto-53";"2";237;377;387;1001
"ctb0038";"Ponto-54";"2";207;355;437;999
"ctb0038";"Ponto-55";"1";232;343;426;1001
"ctb0038";"Ponto-56";"1";226;355;418;999
"ctb0038";"Ponto-56";"2";279;360;360;999
"ctb0038";"Ponto-57";"1";230;321;448;999
"ctb0039";"LVef-1";"1";476;476;67;1019
"ctb0039";"LVef-3";"3";621;318;62;1001
"ctb0039";"NVef-2";"2";688;267;46;1001
"ctb0039";"NVef-2";"5";686;292;21;999
"ctb0039";"RL-3";"1";386;471;142;999
"ctb0039";"RR-1";"1";186;557;258;1001
"ctb0045";"72-RRe12";"1";181;287;533;1001
"ctb0569";"09-RCC";"1";290;321;342;953
"ctb0569";"11-RCC";"4";581;188;237;1006
"ctb0574";"GB-30";"3";80;130;690;900
"ctb0574";"GB-5";"6";450;300;150;900
"ctb0574";"GB-53";"2";60;90;750;900
"ctb0577";"Lontras-10";"4";639;216;91;946
"ctb0577";"Lontras-11";"5";13;82;47;142
"ctb0579";"ÁguasFrias-01";"2";678;242;29;949
"ctb0579";"ÁguasFrias-02";"1";565;295;145;1005
"ctb0579";"ÁguasFrias-03";"4";243;456;302;1001
"ctb0579";"ÁguasFrias-04";"3";589;296;116;1001
"ctb0579";"ÁguasFrias-06";"1";375;388;238;1001
"ctb0579";"ÁguasFrias-07";"1";366;438;197;1001
"ctb0579";"Águasfrias-12";"1";565;329;105;999
"ctb0579";"Águasfrias-12";"2";572;334;95;1001
"ctb0579";"Águasfrias-12";"3";656;247;96;999
"ctb0579";"Águasfrias-12";"4";711;19;97;827
"ctb0579";"ÁguasFrias-14";"3";660;270;73;1003
"ctb0579";"ÁguasFrias-14";"5";715;212;74;1001
"ctb0579";"ÁguasFrias-17";"2";449;323;218;990
"ctb0579";"ÁguasFrias-20";"2";550;321;132;1003
"ctb0579";"ÁguasFrias-20";"3";558;253;186;997
"ctb0579";"ÁguasFrias-22";"1";381;332;286;999
"ctb0579";"ÁguasFrias-22";"2";466;304;173;943
"ctb0579";"ÁguasFrias-22";"3";609;214;176;999
"ctb0582";"P-01";"5";612;57;334;1003
"ctb0582";"P-05";"3";269;98;631;998
"ctb0583";"TAl-07";"2";40;20;840;900
"ctb0584";"P-02-SOS";"1";364;82;454;900
"ctb0584";"T-JSM-01";"2";616;109;175;900
"ctb0584";"T-JSM-03";"2";303;80;637;1020
"ctb0588";"P-01";"2";100;96;904;1100
"ctb0588";"TCAM-13";"1";164;26;780;970
"ctb0589";"5-(26)";"2";250;160;620;1030
"ctb0590";"3PR-XXVIII-CBCS";"2";658;145;207;1010
"ctb0590";"3PR-XXVIII-CBCS";"6";665;131;184;980
"ctb0591";"P-02-Curitiba";"3";570;150;260;980
"ctb0591";"P-13-Sao-Mateus-do-Sul";"3";370;160;90;620
"ctb0591";"P-13-Sao-Mateus-do-Sul";"5";40;130;100;270
"ctb0593";"6PR-XXVIII-CBCS";"4";263;66;771;1100
"ctb0593";"6PR-XXVIII-CBCS";"5";263;72;765;1100
"ctb0594";"30-PR-I-89";"6";860;130;20;1010
"ctb0595";"SIPA-1";"7";580;260;170;1010
"ctb0595";"T-22";"1";80;100;840;1020
"ctb0595";"T-35";"2";200;80;260;540
"ctb0598";"Perfil-no-14";"1";330;430;230;990
