"dados_id";"dados_licenca";"dados_versao"
"ctb0001";"CC BY";"2.0.0"
"ctb0002";"CC BY";"1.1.0"
"ctb0003";"CC BY";"2.0.0"
"ctb0004";"CC BY";"2.0.0"
"ctb0005";"CC BY";"3.0.3"
"ctb0006";"CC BY-NC";"4.0.0"
"ctb0007";"CC BY";"3.0.1"
"ctb0008";"CC BY";"2.0.0"
"ctb0009";"CC BY";"2.0.1"
"ctb0010";"CC BY";"2.0.1"
"ctb0011";"CC BY";"3.0.1"
"ctb0012";"CC BY";"3.0.1"
"ctb0013";"CC BY";"2.0.1"
"ctb0014";"CC BY";"2.0.1"
"ctb0015";"CC BY";"2.0.1"
"ctb0016";"CC BY";"2.0.1"
"ctb0017";"CC BY";"2.0.0"
"ctb0018";"CC BY";"2.0.0"
"ctb0019";"CC BY";"2.0.1"
"ctb0020";"CC BY-NC-SA";"1.0.1"
"ctb0022";"CC BY";"1.1.0"
"ctb0023";"CC BY";"2.0.1"
"ctb0025";"CC BY";"3.0.0"
"ctb0026";"CC BY";"2.1.0"
"ctb0027";"CC BY";"1.0.0"
"ctb0028";"CC BY-NC";"2.0.1"
"ctb0029";"CC BY";"2.1.0"
"ctb0030";"CC BY";"2.0.0"
"ctb0031";"CC BY";"1.0.2"
"ctb0032";"CC BY";"2.0.3"
"ctb0033";"CC BY";"1.0.1"
"ctb0034";"CC BY";"1.0.0"
"ctb0035";"CC BY";"0.0.0"
"ctb0036";"CC BY";"2.0.0"
"ctb0037";"CC BY";"0.0.0"
"ctb0038";"CC BY";"0.0.1"
"ctb0039";"CC BY";"0.1.1"
"ctb0042";"CC BY";"2.1.0"
"ctb0045";"CC BY";"0.2.0"
"ctb0046";"CC BY";"1.0.0"
"ctb0047";"CC BY";"0.0.0"
"ctb0048";"CC BY";"0.0.0"
"ctb0050";"CC BY";"1.1.0"
"ctb0051";"CC BY";"1.1.0"
"ctb0562";"CC BY-NC";"7.1.0"
"ctb0563";"CC BY-NC";"5.0.1"
"ctb0565";"CC BY-NC";"5.0.0"
"ctb0566";"CC BY-NC";"5.0.1"
"ctb0567";"CC BY-NC";"5.0.2"
"ctb0568";"CC BY-NC";"5.0.0"
"ctb0569";"CC BY-NC";"3.0.1"
"ctb0570";"CC BY-NC";"5.0.1"
"ctb0572";"CC BY-NC";"6.1.0"
"ctb0573";"CC BY-NC";"3.1.0"
"ctb0574";"CC BY-NC";"3.0.0"
"ctb0577";"CC BY-NC";"3.0.0"
"ctb0578";"CC BY-NC";"3.0.0"
"ctb0579";"CC BY-NC";"3.0.0"
"ctb0580";"CC BY-NC";"3.0.0"
"ctb0581";"CC BY-NC";"3.0.0"
"ctb0582";"CC BY-NC";"3.0.0"
"ctb0583";"CC BY-NC";"3.0.0"
"ctb0584";"CC BY-NC";"3.0.0"
"ctb0585";"CC BY-NC";"3.0.0"
"ctb0586";"CC BY-NC";"3.0.0"
